conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,85745E+18;Fri Nov 15 16:03:27 +0000 2024;0;@bos_sir JURU BICARA PRAMONO ANUNG PERTEMUAN antara Mas pram dan Mas Anies ini adalah Koalisi untuk Kepentingan Warga Bukan Elit Kolaborasi dengan Anies Baswedan adalah untuk mendengarkan dan memperjuangkan aspirasi nyata warga bukan sekadar strategi poli;1,85745E+18;https://pbs.twimg.com/ext_tw_video_thumb/1857454317328039936/pu/img/kzOJRD0--ckP9ghi.jpg;bos_sir;in;;0;0;0;https://x.com/jutek_84/status/1857454374970327452;1,84638E+18;jutek_84
1,85745E+18;Fri Nov 15 15:59:22 +0000 2024;5;@bos_sir JURU BICARA PRAMONO ANUNG PERTEMUAN antara Mas pram dan Mas Anies ini adalah Koalisi untuk Kepentingan Warga Bukan Elit Kolaborasi dengan Anies Baswedan adalah untuk mendengarkan dan memperjuangkan aspirasi nyata warga bukan sekadar strategi poli;1,85745E+18;https://pbs.twimg.com/ext_tw_video_thumb/1857453285202132992/pu/img/ZbWv2170ba-sKBah.jpg;bos_sir;in;;1;1;1;https://x.com/jakartaku03/status/1857453345944023313;1,84222E+18;jakartaku03
1,85745E+18;Fri Nov 15 15:56:37 +0000 2024;0;@bos_sir JURU BICARA PRAMONO ANUNG PERTEMUAN antara Mas pram dan Mas Anies ini adalah Koalisi untuk Kepentingan Warga Bukan Elit Kolaborasi dengan Anies Baswedan adalah untuk mendengarkan dan memperjuangkan aspirasi nyata warga bukan sekadar strategi poli;1,85745E+18;https://pbs.twimg.com/ext_tw_video_thumb/1857452592177332225/pu/img/H5heqNG3fKEadE9s.jpg;bos_sir;in;;0;0;0;https://x.com/jakartaku03/status/1857452655003763064;1,84222E+18;jakartaku03
1,85745E+18;Fri Nov 15 15:45:45 +0000 2024;22;Kebersamaan dan keakraban adalah kunci kerja sama yang kukuh dalam menjalani rencana masa depan yang lebih baik. Semakin yakin #JakartaMenyala Nyok kita barengan dukung sampai #jakartam3nang https://t.co/gG6KWkONJU;1,85745E+18;https://pbs.twimg.com/ext_tw_video_thumb/1857449836859293696/pu/img/2MxPvXXV-Tel7L8g.jpg;;in;Yaman;0;2;16;https://x.com/King_PWS_/status/1857449921311613219;1,57731E+18;King_PWS_
1,85731E+18;Fri Nov 15 15:42:10 +0000 2024;2;@AntoniusCDN @pramonoanung @ranokarno_ @Urrangawak @NgkongRoses @seruanhl @03__nakula @Anak__Ogi @ch_chotimah2 @JhonSitorus_18 @tnmuda @TOM5helby @Mata_Netizen62 Semoga harapan warga #JakartaMenyala terwujud;1,85745E+18;;AntoniusCDN;in;;0;0;1;https://x.com/Nyawang_wulan/status/1857449020710662519;1,40538E+18;Nyawang_wulan
1,85745E+18;Fri Nov 15 15:34:11 +0000 2024;0;Bersatu kita bisa... Hancurkan rezim fufufafa bin mulyono ! #JakartaMenyala #PramDoelJuara #JatengBerSATU #AndikaHendi Lihat video pram.doel! #TikTok https://t.co/35PjnESkUx;1,85745E+18;;;in;;0;0;0;https://x.com/WatchPms/status/1857447011332894957;2539697462;WatchPms
1,85744E+18;Fri Nov 15 15:22:59 +0000 2024;1;Setuju banget nih! Ridwan Kamil Penuh Pencitraan dan Kepalsuan Fakta loh. Mana yg terlihat tulus dan bersungguh-sungguh mana yg terlihat cuma pencitraan doang RK No Way! #PramDoelJuara #JakartaMenyala Suzuki Jepun Arhan Garuda Nathan Ada Lisa Di Jakarta Bahrain Asia RCTI https://t.co/irp1QY92zV;1,85744E+18;https://pbs.twimg.com/ext_tw_video_thumb/1857444062535864320/pu/img/xj0Qy0C-lDvfnQxu.jpg;;in;Indonesia;0;0;1;https://x.com/NyaiKhonguan/status/1857444190919209199;2266877797;NyaiKhonguan
1,85744E+18;Fri Nov 15 15:17:46 +0000 2024;1;Mas Pram-Bang Doel Persatukan Ahokers dan Anak Abah Mas Pram bisa menyatukan 2 kekuatan di Jakarta .. Mantap lah! Relawan Ahoker dan Anak Abah dukung Paslon No.3 #PramDoelJuara #JakartaMenyala Suzuki Arab Kevin Dick Arhan Garuda Nathan Ada Lisa Di Jakarta Bahrain Asia RCTI https://t.co/vrAUjw94XL;1,85744E+18;https://pbs.twimg.com/ext_tw_video_thumb/1857442732526174208/pu/img/XAepI7aav5EoKuGa.jpg;;in;Indonesia;0;0;1;https://x.com/NyaiKhonguan/status/1857442878823567837;2266877797;NyaiKhonguan
1,85744E+18;Fri Nov 15 15:13:39 +0000 2024;1;Wadidaaww!! Apa yg terjadi nih?? Kok semua ketua Partai Pendukung Menolak hadiri Kampanye akbarnya RK sih??? Masa cuma di wakili sama bendera partai ajah?? Rugi dong #PramDoelJuara #JakartaMenyala Suzuki Arab Arhan Garuda Nathan Ada Lisa Di Jakarta Bahrain Asia RCTI https://t.co/YZ448okMxi;1,85744E+18;https://pbs.twimg.com/ext_tw_video_thumb/1857441799100575745/pu/img/sLhyw05aDBinHVRC.jpg;;in;Indonesia;0;0;1;https://x.com/NyaiKhonguan/status/1857441842289316043;2266877797;NyaiKhonguan
1,85744E+18;Fri Nov 15 15:11:10 +0000 2024;1;Kehangatan Pagi ini ngobrol soal Jakarta Anies Mas Pram-Bang Doel tertawa lepas saat bertemu .. Kode keras dukungan Abah untuk Paslon No.3 #PramDoelJuara #JakartaMenyala Suzuki Jepun Arab Kevin Dick Arhan Garuda Nathan Ada Lisa Di Jakarta Bahrain Asia RCTI https://t.co/xQkdokAcBm;1,85744E+18;https://pbs.twimg.com/ext_tw_video_thumb/1857441112656588800/pu/img/Y7BlJRWoOWoZKWs3.jpg;;in;Indonesia;0;0;1;https://x.com/NyaiKhonguan/status/1857441216440525243;2266877797;NyaiKhonguan
1,85744E+18;Fri Nov 15 15:07:56 +0000 2024;2;Paslon onoh gak bisa kek Mas Pram-Bang Doel Ahoker dan Anak Abah Bersatu Dukung Paslon No. 3 untuk masa depan Jakarta .. #PramDoelJuara #JakartaMenyala Suzuki Jepun Arab Kevin Dick Arhan Garuda Nathan Ada Lisa Di Jakarta Bahrain Asia RCTI https://t.co/w3gfI2h7Of;1,85744E+18;https://pbs.twimg.com/ext_tw_video_thumb/1857440350283108352/pu/img/2Uonpnq_juD6_lpE.jpg;;in;Indonesia;0;0;2;https://x.com/NyaiKhonguan/status/1857440404540694604;2266877797;NyaiKhonguan
1,85744E+18;Fri Nov 15 15:02:15 +0000 2024;41;terima kasih pak @aniesbaswedan yg telah memilih #PrakarUntukJakarta dlm usaha terus mewujudkan #JakartaMenyala https://t.co/RabQHw93eL;1,85744E+18;https://pbs.twimg.com/ext_tw_video_thumb/1857438936328699905/pu/img/iKYudFu7qnlVUycu.jpg;;in;;1;2;24;https://x.com/AntoniusCDN/status/1857438974052286477;4184979312;AntoniusCDN
1,85743E+18;Fri Nov 15 14:36:06 +0000 2024;12;Kirain Alianai Masyarakat Sunda di Jakarta ini akan dukung RK ternyata mendukung mas Pram dan bang Doel. Ada apa gerangan ya? #JakartaMenyala #PramDoelJuara https://t.co/FGjdMvS4ZF;1,85743E+18;https://pbs.twimg.com/ext_tw_video_thumb/1857432217859092480/pu/img/R3uhfARkbbRXWMu6.jpg;;in;Jakarta Selatan, DKI Jakarta;0;0;2;https://x.com/HusinShihab/status/1857432390760878438;1,12865E+18;HusinShihab
1,85743E+18;Fri Nov 15 14:30:43 +0000 2024;7;Gambar terakhir kek lagi kegencet tronton Tanjung Priok... . . . #JakartaMenyala #PramDoelJuara https://t.co/EjoZMxae2s;1,85743E+18;https://pbs.twimg.com/media/GcbrrH9bwAEkj5J.jpg;;in;;0;3;3;https://x.com/siapanamina/status/1857431038068416967;1,40265E+18;siapanamina
1,85743E+18;Fri Nov 15 14:26:36 +0000 2024;52;Buruh pelabuhan dukung pasangan Cagub/Cawagub DKJ no urut 3 Pramono Anung - Rano Karno. #JakartaMenyala #PrakarUntukJakarta https://t.co/LHr6RCyNSl;1,85743E+18;https://pbs.twimg.com/ext_tw_video_thumb/1857429946094006272/pu/img/QEOCiwQRarmANcy3.jpg;;in;;0;1;11;https://x.com/03__nakula/status/1857430003513991389;1,1017E+18;03__nakula
1,85743E+18;Fri Nov 15 14:25:00 +0000 2024;3;Lagunya manis namun menyayat hati yang gak RIDO.. #JakartaMenyala https://t.co/tguuUBMRst;1,85743E+18;https://pbs.twimg.com/ext_tw_video_thumb/1857369952124280834/pu/img/3FDD3axNzKJ9fGMt.jpg;;in;;0;0;1;https://x.com/Y_Radianto/status/1857429598952382754;1,52977E+18;Y_Radianto
1,85743E+18;Fri Nov 15 14:12:18 +0000 2024;0;Sudah tiba saatnya Ahokers dan anak Abah bersatu dukung Pram Doel...mantaaaab3. Menang SATUPUTARAN #JakartaMenyala https://t.co/ktbvnRXhVJ;1,85743E+18;https://pbs.twimg.com/ext_tw_video_thumb/1857426365211123712/pu/img/NZai1Ofm3R-GCOAH.jpg;;in;;0;0;0;https://x.com/dprasss/status/1857426404113313875;196477889;dprasss
1,85743E+18;Fri Nov 15 14:10:20 +0000 2024;1;Jumat Berkah Jumat Menuju Jalan Kemenangan Warga Jakarta Bersama Mas Pram Dan Bang Doel... Kaga ribet deh #JakartaMenyala #jakartam3nang #PADoel_utkJakarta #RAMA_JakartaUtara;1,85743E+18;;;in;Jakarta Utara, DKI Jakarta;0;0;0;https://x.com/rob_in9911/status/1857425909114139114;485331416;rob_in9911
